period,date,deepen_usd_total,recover_usd_total,deepen_usd_inpos,deepen_usd_flat,min_dd_pct,min_dd_usd,bars,inpos_frac,ema_sep_ok_frac,nochop_ok_frac,corr_ok_frac,fomc_allow_frac,deepen_usd_ema_sep_bad,deepen_usd_nochop_bad,deepen_usd_corr_bad,deepen_usd_fomc_blocked
2023-2025,2025-09-28,0.0,0.0,0.0,0.0,-0.015869937500376907,-53.96700000000055,23,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-09-29,378.53999999999814,432.5069999999987,378.53999999999814,0.0,-0.027120957730599526,-92.22700000000077,276,0.8768115942028986,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-09-30,202.3749999999991,151.83199999999852,202.3749999999991,0.0,-0.020065656541949806,-70.53300000000127,276,0.4855072463768116,1.0,0.6413043478260869,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-10-01,187.61099999999533,181.67099999999573,185.0309999999954,2.5799999999999272,-0.016808290948464255,-59.08300000000145,276,0.4384057971014493,1.0,0.6956521739130435,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-10-02,175.57900000000427,109.43200000000434,161.88200000000415,13.697000000000116,-0.034886527749269924,-122.63000000000011,276,0.26811594202898553,1.0,0.3804347826086957,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-10-03,192.66499999999996,244.29799999999977,192.66499999999996,0.0,-0.037232684434813534,-130.8769999999995,253,0.5691699604743083,1.0,0.7272727272727273,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-10-05,29.759000000000015,73.17600000000039,29.759000000000015,0.0,-0.02081783773227064,-73.17700000000059,23,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-10-06,445.60800000000654,464.41800000000603,445.60800000000654,0.0,-0.013128574327998965,-46.80000000000109,276,0.9094202898550725,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-10-07,194.5029999999997,171.92299999999886,183.45899999999892,11.044000000000779,-0.017989963067120973,-64.28000000000065,276,0.463768115942029,1.0,0.5869565217391305,1.0,1.0,0.0,0.0,0.0,0.0
2023-2025,2025-10-08,312.72550000000456,320.93550000000596,309.60250000000497,3.1229999999995925,-0.014046612419707838,-50.19000000000142,276,0.8115942028985508,1.0,0.967391304347826,1.0,1.0,0.0,0.0,0.0,0.0
