iter,score,final_equity,cagr,vol,sharpe,max_drawdown,fast,slow,ema_fast,ema_slow,atr_n,sep_k,nochop_ema,nochop_lookback,nochop_min,htf_slope_on,htf_slope_ema,htf_slope_window,htf_slope_atr_mult,base_slope_on,base_slope_ema,base_slope_window
692,2.1192789760203063,1.707057943051518,0.212801092672241,0.08635639050847518,2.277311406045254,-0.0790162150124738,30,75,50,250,20,0.33,15,20,14,True,30,3,,True,100,10
456,2.119259731527099,1.9137820598857964,0.26386305021648426,0.1009521387172112,2.3701098091675092,-0.12542503882020506,15,125,30,120,10,0.33,15,25,11,True,100,3,0.04,False,200,20
660,2.117256653689129,1.8076942355960475,0.23812501327002678,0.0949575478845683,2.296874819648274,-0.08980908297957246,10,100,20,120,10,0.2,15,20,15,True,100,3,0.02,True,50,30
683,2.1154172749291975,1.737993789897485,0.220685023867633,0.08925877733333218,2.278709846042251,-0.08164628555652687,30,125,50,120,10,0.3,20,20,14,False,30,10,,True,50,10
439,2.1153929170830983,1.740779781674927,0.22139061058519327,0.09039622857583662,2.2575618627819924,-0.07108447284944708,25,75,50,150,10,0.3,15,15,11,False,50,6,0.04,True,100,30
657,2.114950455442079,1.834337212759345,0.24467779292753233,0.09848821756822795,2.271602043834087,-0.07832579419600405,10,50,20,250,20,0.33,20,30,13,True,50,3,,True,200,10
573,2.1147753278856642,1.8204631137989706,0.24127313850608734,0.09570467986065427,2.306223719306293,-0.09572419571031432,30,125,50,120,10,0.3,30,25,13,True,100,6,0.04,True,100,10
264,2.114274717166646,1.817976449637818,0.2406611689071827,0.09803850767255451,2.2485999042461717,-0.06716259353976295,20,100,20,200,10,0.27,20,20,15,False,50,10,0.04,False,200,30
457,2.113534973558872,1.8369149597687064,0.2453085478364374,0.0969627330738258,2.3110255481312048,-0.09874528728616638,25,125,50,120,14,0.35,20,15,11,False,200,6,,False,50,20
495,2.1134758122988817,1.9235288841498355,0.26618152654527916,0.1051768869401004,2.2964748726881967,-0.09149953019465751,30,150,50,150,14,0.2,20,25,12,True,100,8,0.03,True,200,20
54,2.1124114312616706,1.9337794574334064,0.2686117419530729,0.1054705158168223,2.308553808365153,-0.09807118855174102,30,75,20,200,14,0.25,30,30,10,False,100,6,0.04,False,200,10
680,2.109561878485319,1.5475540582954115,0.1706299937388176,0.07178746302050157,2.230443917168603,-0.06044101934164203,25,75,80,200,10,0.33,15,15,12,True,200,10,0.04,True,100,30
