seg_id,entry_ts,exit_ts,size,duration_bars,ret_end,mae,mfe,variant,period
529,2022-03-08 13:40:00+00:00,2022-03-08 19:30:00+00:00,2.0,71,0.04082289682811635,0.0,0.09020935723400125,baseline_no_shock,2021-2022
485,2022-02-11 14:35:00+00:00,2022-02-14 01:45:00+00:00,2.0,123,0.054712082778525684,0.0,0.06596320789103727,baseline_no_shock,2021-2022
311,2021-10-13 05:50:00+00:00,2021-10-13 20:10:00+00:00,2.0,173,0.0567766187460057,-0.006162793634575614,0.063635180916499,baseline_no_shock,2021-2022
743,2022-11-04 07:35:00+00:00,2022-11-07 00:45:00+00:00,2.0,183,0.046099136501816185,-0.004114953433274393,0.05801906935821144,baseline_no_shock,2021-2022
327,2021-10-22 01:35:00+00:00,2021-10-22 16:50:00+00:00,2.0,184,0.02155277800758859,-0.002647416204054398,0.048553835032878245,baseline_no_shock,2021-2022
91,2021-04-15 07:05:00+00:00,2021-04-15 20:10:00+00:00,2.0,158,0.036129742089828554,-0.002900363744571921,0.0453153692849233,baseline_no_shock,2021-2022
587,2024-04-12 14:15:00+00:00,2024-04-12 16:55:00+00:00,2.0,33,-0.05596142235464774,-0.06526835770572759,0.020543380248559284,baseline_no_shock,2023-2025
729,2024-08-02 13:05:00+00:00,2024-08-02 15:05:00+00:00,2.0,25,-0.04002592019093454,-0.04002592019093454,0.011329514956650799,baseline_no_shock,2023-2025
567,2024-04-02 14:30:00+00:00,2024-04-02 16:55:00+00:00,2.0,30,-0.020409412144962835,-0.03161183506533516,0.0,baseline_no_shock,2023-2025
1023,2025-02-07 15:50:00+00:00,2025-02-07 17:45:00+00:00,2.0,24,-0.02425044688386957,-0.02925997507538325,1.9683804288295192e-05,baseline_no_shock,2023-2025
115,2023-04-05 13:05:00+00:00,2023-04-05 15:00:00+00:00,2.0,24,-0.020410948731596323,-0.028849133634049062,0.001418809850854963,baseline_no_shock,2023-2025
485,2024-02-02 12:40:00+00:00,2024-02-02 13:40:00+00:00,2.0,13,-0.028731798227700445,-0.028731798227700445,0.0006678647388593806,baseline_no_shock,2023-2025
1335,2025-09-17 18:05:00+00:00,2025-09-17 18:55:00+00:00,2.0,11,-0.02788764001871491,-0.02788764001871491,0.00886498470866326,baseline_no_shock,2023-2025
